Name,City,Address,SourceURL
Hotel Florida,Havana,"Calle Obispo esq. a Cuba. Ciudad de La Habana, Habana, Cuba 10 100",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Hotel Habana 612,Havana,"612 Calle Habana Entre Teniente Rey Y Muralla, Habana, Cuba 10 400",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Hotel Inglaterra,Havana,"Prado No 416 esq San Rafael, Habana Vieja, Habana, Cuba 10 100",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Hotel Kohly,Havana,"49 Y 36 Reparto Kohly Playa, Habana, Cuba 10 400",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Hotel Lido,Havana,"Consulado No. 210 e/ Animas y Trocadero, Habana Vieja, Habana, Cuba 10 100",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Hotel Lincoln,Havana,"Calle Virtudes No. 157 esq. a Galiano, Centro Habana, Habana, Cuba 10 200",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Hotel Los Frailes,Havana,"Calle Teniente Rey No. 8 e/ Mercaderes y Oficios., 8 Teniente Rey, Habana, Cuba 10 400",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Hotel Marqués de Cardenas de Montehermoso,Havana,"Calle Oficios Entre Amargura Y Lamparilla, Habana, Cuba 10 100",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Hotel Marqués de Prado Ameno,Havana,"Calle O’Reilly Esq. A Cuba, Habana, Cuba 10 100",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Hotel Nacional de Cuba,Havana,"Calle 21 y O Vedado, Plaza, Habana, Cuba 10 400",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Hotel Palacio Cueto,Havana,"Calle Inquisidor No.351-353 Esquina a Muralla Vieja Linda, Habana,  Cuba 10 100",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Hotel Palacio del Marqués de San Felipe y Santiago de Bejucal,Havana,"Calle de los Oficios 152 esquina a Mercaderes, La Habana, Cuba 10 100",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Hotel Palacio O’Farrill,Havana,"Calle Cuba 102 – 108 entre Chacon y Tejadillo, Habana, Cuba 10 100",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Hotel Panamericano,Havana,"Calle A y Ave. Central, Cojímar, Habana del Este, Habana, Cuba 10 900",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Hotel Park View,Havana,"Calle Colon esq a Morro, Habana, Cuba 10 100",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Hotel Paseo Habana,Havana,"Calle 17 esq. a A, Vedado, Plaza de la Revolución, Habana 10 400",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Hotel Plaza,Havana,"Ingnacio Agramonte 267 Habana Vieja, Habana, Cuba 10 400",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Hotel Raquel,Havana,"Calle Amargura No. 103, esq. a San Ignacio, Habana Vieja, Habana, Cuba 10 400",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Hotel Regis,Havana,"Paseo de Martí, La Habana, Cuba 10 400",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Hotel San Alejandro,Havana,"Ave. 31 e/ 76 y 78, Marianao, Habana, Cuba 11 500",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Hotel San Miguel,Havana,"Calle de Cuba 2, esquina a Pena Pobre Vedado, Habana, Cuba  10 400",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Hotel Santa Isabel,Havana,"Calle Baratillo 9 Between Obispo And Narciso Lopez, Habana, Cuba 10 100",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Hotel Saratoga,Havana,"Paseo del Prado 603 esquina Dragones, La Habana Vieja, Habana, Cuba 10 200",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Hotel Sevilla,Havana,"Trocadero 55 e Prado y Zulueta Habana, Habana, Cuba 19 100",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Hotel Telégrafo,Havana,"416 Paseo de Martí, Habana, Cuba 10 600",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Hotel Terral,Havana,"Avenida Malecon Esquina A Lealtad, Habana, Cuba 10 400",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Hotel Tryp Habana Libre,Havana,"Calle L e/ 23 y 25, Vedado, Plaza de la Revolución, Habana, Cuba 10 400",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Hotel Tulipán,Havana,"Calle Factor e/ Tulipán y Lombillo, Nuevo Vedado, Plaza de la Revolución, Habana, Cuba 10 400",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Hotel Vedado Saint John’s,Havana,"Calle O e/ 23 y 25, Vedado, Plaza de la Revolución, Habana, Cuba 10 400",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Hotel Vedado,Havana,"Calle O, entre 23 y 25 Vedado, Habana, Cuba 10 400",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Iberostar Grand Packard Hotel,Havana,"51 Paseo de Martí, Habana, Cuba 10 100",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Iberostar Parque Central,Havana,"Calle Neptuno e/ Paseo del Prado y Zulueta, Habana Vieja, Habana, Cuba 10 400",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Marazul,Havana,"Ave. de las Banderas y las Terrazas, Santa María del Mar, Playas del Este, Habana, Cuba 10 900",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Mariposa,Havana,"Autopista Novia Del Mediodia, Habana, Cuba 10 400",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Meliá Cohiba,Havana,"Paseo e/ 1ª y 3ª, Vedado, Plaza de la Revolución, Havana, Cuba 10 400",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Meliá Habana,Havana,"Ave. 3ª e/ 76 y 80, Miramar, Playa, Habana, Cuba 11 300",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Memories Miramar Havana,Havana,"Quinta avenida entre 72 y 76 Fraccionamiento, Miramar, La Habana, Cuba 11 300",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Mirazul,Havana,"5ta Avenida Entre 36 Y 40 Miramar, Playa, La Habana, Cuba 10 400",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Neptuno Tritón,Havana,"3ra Ave. Y 74 Miramar, Habana, Cuba 10 400",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
NH Capri,Havana,"Calle 21, e/ N y O, Vedado, Plaza de la Revolución, Habana, Cuba 10 400",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
NH Collection Victoria La Habana,Havana,"Calle 19 e/ calle L y M, Vedado, Plaza de la Revolución, Habana, Cuba 10 400",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
