schema,name,aliases,topics,program,authority,reason,report-date,start-date,end-date,country,notes,source_url
Person,Gloria Maria Saavedra Corrales,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"judge in the tenth criminal district court of Managua, undermined democratic processes or institutions by using her position and authority within the Nicaraguan judicial system to knowingly facilitate a coordinated campaign to suppress dissent by confiscating property from the Jesuit Central American University without a legal basis, in order to install a regime-friendly administration.",2023,,December 2023,NICARAGUA,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report-2023/
Person,Gonzalo Molina Solorzano,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"Chief of Supply for the National Bank for Agricultural Development from 2010 to 2014, transferred proceeds of corruption when he aided the misappropriation of more than $500,000 from Bono 10 Mil, a presidential project aimed at reducing rural poverty.",2022,,December 2023,HONDURAS,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report-2022/
Person,Guillermo Estuardo de Jesus Sosa Rodriguez,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"former Vice Minister of Communications, engaged in significant corruption when he participated in bribery schemes, including involvement in a criminal structure that pressured, collected, and deposited bribes from state contractors in exchange for personal benefits.",2021,,December 2023,GUATEMALA,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report/
Person,Gustavo Adolfo Alejos Cambara,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"former Guatemalan Presidential Chief of Staff, engaged in significant corruption by facilitating payments to congressional representatives and judges on Guatemala’s Supreme Court of Justice (CSJ) in order to inappropriately influence the judicial selection process for magistrates to the CSJ and Court of Appeals and secure his future release from prison and the dismissal of corruption charges. He is designated under the Global Magnitsky sanctions program and Section 7031(c) for involvement in sig",2021,,December 2023,GUATEMALA,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report/
Person,Gustavo Adolfo Herrera Castillo,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"political operative and businessman, undermined democratic processes or institutions by abusing his authority to inappropriately influence and manipulate the appointment of judges to high court positions.",2021,,December 2023,GUATEMALA,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report/
Person,Gustavo Alberto Perez,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"current congressional representative, has engaged in significant corruption. He was indicted in the Arca Abierta MACCIH-investigated corruption case for embezzling $800,000 from various government agencies.",2021,,December 2023,HONDURAS,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report/
Person,Harvis Edulfo Herrera Carballo,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"General Manager at the Presidential Palace from 2010 to 2014, transferred proceeds of corruption when he aided the misappropriation of more than $500,000 from Bono 10 Mil, a presidential project aimed at reducing rural poverty.",2022,,December 2023,HONDURAS,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report-2022/
Person,Hector Enrique Padilla Hernandez,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"former member of congress, engaged in significant corruption by misappropriating funds from the publicly funded Limpieza de Solares y Calles development project in his home department of Choluteca to his personal accounts.",2021,,December 2023,HONDURAS,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report/
Person,Irma Oralya Laguna Cruz,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"a judge, undermined democratic processes or institutions when she convicted and sentenced a prodemocracy leader on vague, false charges of “undermining national integrity” in the sham trial of opposition activist Evelyn Pinto.",2022,,December 2023,NICARAGUA,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report-2022/
Person,Javier Rodolfo Pastor Vasquez,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"Vice Minister of Health in 2011, engaged in significant corruption by accepting $235,000 in bribes to interfere in public procurement procedures to improperly award contracts to political allies and to expedite payments.",2022,,December 2023,HONDURAS,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report-2022/
